Title,Uploader,Views,Likes,Clip URL,Creation Date
 Many people can try to help me , dotnetworks880 , 40 ,No likes,https://www.voicy.network/sounds/GCbPGSRahUaSmQp2KYaVDg-many-people-can-try-to-help-me,"Jun 29, 2022"
 Billie Eilish feat VITAS - The 7th Element BAD GUY , xander , 410 , 3 ,https://www.voicy.network/sounds/WKtMi8MuJ06j7vhVpyINmQ-billie-eilish-feat-vitas-the-7th-element-bad-guy,"Oct 7, 2020"
 Billie Eilish - you should see me in a crown , Sgoodin , 73 , 1 ,https://www.voicy.network/sounds/fWrmvRXB0USkmSoyrigH9w-billie-eilish-you-should-see-me-in-a-crown,"Nov 4, 2021"
 Billie Eilish - Happier Than Ever (cupcakKe Remix) , WhorUiH8U , 193 ,No likes,https://www.voicy.network/sounds/ZXMKHBSfF0KdfRnWilkiCg-billie-eilish-happier-than-ever-cupcakke-remix,"Jan 18, 2022"
 Billie Eilish - Halley’s Comet (Official Lyric Video) , Tennisbull , 90 ,No likes,https://www.voicy.network/sounds/54aoJOpGzEmqIjlETMWRTg-billie-eilish-halley-s-comet-official-lyric-video,"Jan 20, 2022"
 Billie Eilish - Everybody Dies (Official Lyric Video) , Tennisbull , 87 ,No likes,https://www.voicy.network/sounds/oamNBAG9yUinXvwZ0f8cgg-billie-eilish-everybody-dies-official-lyric-video,"Jan 20, 2022"
 Billie Eilish - Happier Than Ever (rock version) , WhorUiH8U , 396 , 1 ,https://www.voicy.network/sounds/fDOn7PRu7E6FMhIz-Vndlw-billie-eilish-happier-than-ever-rock-version,"Jan 22, 2022"
 Billie Eilish - No Time To Die (Audio) , Iluvbeef , 136 , 1 ,https://www.voicy.network/sounds/07mWVUUxmUOlQN0yBf7BVA-billie-eilish-no-time-to-die-audio,"Jan 24, 2022"
" Oh, I'm really smart ", Dotnetworks40 , 21 ,No likes,https://www.voicy.network/sounds/hcOwhjj3W0_x4EPZnKcevg-oh-im-really-smart,"Jun 10, 2022"
 You are wrong he's bright blue , dotnetworks880 , 6 ,No likes,https://www.voicy.network/sounds/aSh201WWQUC1rfZV4m7_Tw-you-are-wrong-hes-bright-blue,"Jun 30, 2022"
 Billie eilish - happier than ever (slowed + reverb) , Orangeisafruit , 250 ,No likes,https://www.voicy.network/sounds/N_iEemklAUq3oFLaL1C3aA-billie-eilish-happier-than-ever-slowed-reverb,"Aug 26, 2022"
 No one is gonna remember you so fuck it , dotnetworks880 , 31 ,No likes,https://www.voicy.network/sounds/YcWDXv8yukezWxaxURfv6g-no-one-is-gonna-remember-you-so-fuck-it,"Jun 29, 2022"
  But I don't fucking care I really don't care , Dotnetworks40 , 26 ,No likes,https://www.voicy.network/sounds/G33WQDUpPUGByXl-5Xl8NA-but-i-dont-fucking-care-i-really-dont-care,"Jun 10, 2022"
  She's new to this just , Dotnetworks40 , 8 ,No likes,https://www.voicy.network/sounds/DPn8eLMcp0mHCV7nZk17rA-shes-new-to-this-just,"Jun 10, 2022"
 Am going to stuff it's like anywhere , Dotnetworks40 , 43 ,No likes,https://www.voicy.network/sounds/dNW6SyfGO0WmVprilIQgLQ-am-going-to-stuff-its-like-anywhere,"Jun 10, 2022"
" Because even though then, you know ", Dotnetworks40 , 15 ,No likes,https://www.voicy.network/sounds/LCCMNZ8D80O_wwhEm3HTQg-because-even-though-then-you-know,"Jun 10, 2022"
 Was going through an identity crisis , Dotnetworks40 , 6 ,No likes,https://www.voicy.network/sounds/J-3GAo7bcU__KTeAuQoIuA-was-going-through-an-identity-crisis,"Jun 10, 2022"
 Billi Eilish oof bad guy , crazygipi , 317 , 2 ,https://www.voicy.network/sounds/-Z5ss_bY2E2OzQ4HhijlaQ-billi-eilish-oof-bad-guy,"Nov 23, 2022"
 I feel like I'm probably the most confident , Dotnetworks40 , 12 ,No likes,https://www.voicy.network/sounds/YsVr-cPUMUqy1eZ_Fwq0CQ-i-feel-like-im-probably-the-most-confident,"Jun 10, 2022"
  I guess I turned to my mom. Honestly , Dotnetworks40 , 69 ,No likes,https://www.voicy.network/sounds/UlvW1EnYUkOdITqiXgkJWA-i-guess-i-turned-to-my-mom-honestly,"Jun 10, 2022"
" It's not just for you, you selfish bitch ", Dotnetworks40 , 10 ,No likes,https://www.voicy.network/sounds/-SW1NVQ0kESrYFtKt_wXkg-its-not-just-for-you-you-selfish-bitch,"Jun 10, 2022"
" Take care of the people around you, man ", Dotnetworks40 , 9 ,No likes,https://www.voicy.network/sounds/T8sqNDJlDkSaMTstmJ3eOA-take-care-of-the-people-around-you-man,"Jun 10, 2022"
 Yeah no nothing will ever top that. 2019 , Dotnetworks40 , 12 ,No likes,https://www.voicy.network/sounds/8jb3mxhcvES-1AVtMqiIrw-yeah-no-nothing-will-ever-top-that-2019,"Jun 10, 2022"
" And by the way, I'm never doing that again ", Dotnetworks40 , 10 ,No likes,https://www.voicy.network/sounds/AcdmU4_pTk_7fKT40s_NAw-and-by-the-way-im-never-doing-that-again,"Jun 10, 2022"
 Gosh it's been a crazy couple of years man , Dotnetworks40 , 25 ,No likes,https://www.voicy.network/sounds/ZnYiky2nukyI8gu_KVCWPA-gosh-its-been-a-crazy-couple-of-years-man,"Jun 10, 2022"
  Like change my life and perspective on music , Dotnetworks40 , 6 ,No likes,https://www.voicy.network/sounds/d0N2Kln-iUyUt1eyrnXk1A-like-change-my-life-and-perspective-on-music,"Jun 10, 2022"
  My favorite artist at the moment is the dought , Dotnetworks40 , 12 ,No likes,https://www.voicy.network/sounds/wPkyONDkxkid247J8AF8OQ-my-favorite-artist-at-the-moment-is-the-dought,"Jun 10, 2022"
 That's the scariest part of my day every day , Dotnetworks40 , 9 ,No likes,https://www.voicy.network/sounds/-SQ6hK8Zo0SLkJ-MAgVWkw-thats-the-scariest-part-of-my-day-every-day,"Jun 10, 2022"
 They are the thing that makes me feel , Dotnetworks40 , 5 ,No likes,https://www.voicy.network/sounds/9jsM8HvlqUur5FyxMqjtNw-they-are-the-thing-that-makes-me-feel,"Jun 10, 2022"
" My attitude used to be well, I can't go out ", Dotnetworks40 , 15 ,No likes,https://www.voicy.network/sounds/UYgmcDoaPESjvLIA0SQS-Q-my-attitude-used-to-be-well-i-cant-go-out,"Jun 10, 2022"
  I was like I only want thobe seen if I look like myself , Dotnetworks40 , 3 ,No likes,https://www.voicy.network/sounds/PJIpRF5YUkeE4_K5XDSFqw-i-was-like-i-only-want-thobe-seen-if-i-look-like-myself,"Jun 10, 2022"
